tournament_year,team_code,avg_team_age,is_host,strength_pre,matches_group,wins,draws,losses,goals_for,goals_against,clean_sheet,points,goal_diff,avg_goals_for,avg_goals_against,win_ratio,y_ord,y_label,split
2010,ITA,28.734577269886614,0,0.2,3,0,2,1,4,5,0,2,-1,1.3333333333333333,1.6666666666666667,0.0,0,Group,train
2010,JPN,28.247954051721575,0,0.022222222222222223,3,2,0,1,4,2,1,6,2,1.3333333333333333,0.6666666666666666,0.6666666666666666,1,R16,train
2010,KOR,27.58289438442996,0,0.02127659574468085,3,1,1,1,5,6,1,4,-1,1.6666666666666667,2.0,0.3333333333333333,1,R16,train
2010,MEX,27.572419129244416,0,0.058823529411764705,3,1,1,1,3,2,1,4,1,1.0,0.6666666666666666,0.3333333333333333,1,R16,train
2010,NGA,26.249918162068862,0,0.047619047619047616,3,0,1,2,3,5,0,1,-2,1.0,1.6666666666666667,0.0,0,Group,train
2010,NLD,28.104038329911017,0,,3,3,0,0,5,1,2,9,4,1.6666666666666667,0.3333333333333333,1.0,4,Final,train
2010,NZL,27.869654495134366,0,0.01282051282051282,3,0,3,0,2,2,1,3,0,0.6666666666666666,0.6666666666666666,0.0,0,Group,train
2010,PRK,25.190488944439483,0,0.009523809523809525,3,0,0,3,1,12,0,0,-11,0.3333333333333333,4.0,0.0,0,Group,train
2010,PRT,28.240454721304648,0,,3,1,2,0,7,0,3,5,7,2.3333333333333335,0.0,0.3333333333333333,1,R16,train
2010,PRY,28.743266970210993,0,,3,1,2,0,3,1,2,5,2,1.0,0.3333333333333333,0.3333333333333333,2,QF,train
2010,SRB,26.434306460732675,0,0.06666666666666667,3,1,0,2,2,3,1,3,-1,0.6666666666666666,1.0,0.3333333333333333,0,Group,train
2010,SVK,26.532392941106448,0,0.029411764705882353,3,1,1,1,4,5,0,4,-1,1.3333333333333333,1.6666666666666667,0.3333333333333333,1,R16,train
2010,SVN,27.193405350712734,0,0.04,3,1,1,1,3,3,1,4,0,1.0,1.0,0.3333333333333333,0,Group,train
2010,URY,27.084486504181175,0,,3,2,1,0,4,0,3,7,4,1.3333333333333333,0.0,0.6666666666666666,3,SF,train
