model,accuracy,macro_f1,weighted_f1
LogReg baseline,0.625,0.3453463203463203,0.6445211038961038
LogReg enriched,0.59375,0.31206661206661207,0.6355241605241605
XGB baseline,0.640625,0.44923371647509575,0.6636733716475095
XGB enriched,0.625,0.3065142364106989,0.6366479723899914
